LocationID,lat,lon,Borough,Zone,service_zone
198,40.704530876000106,-73.90198335319874,Queens,Ridgewood,Boro Zone
199,40.792036405316495,-73.88353397738001,Bronx,Rikers Island,Boro Zone
200,40.899851663000106,-73.9064633786154,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone
201,40.57745076757459,-73.84727892058123,Queens,Rockaway Park,Boro Zone
202,40.76116790976066,-73.95041038483191,Manhattan,Roosevelt Island,Boro Zone
203,40.65947823551285,-73.73671814127863,Queens,Rosedale,Boro Zone
204,40.54074226500011,-74.20696942820342,Staten Island,Rossville/Woodrow,Boro Zone
205,40.69221675150008,-73.76258850365454,Queens,Saint Albans,Boro Zone
206,40.635978021500115,-74.12316405380341,Staten Island,Saint George/New Brighton,Boro Zone
207,40.76350843250011,-73.89932381747465,Queens,Saint Michaels Cemetery/Woodside,Boro Zone
208,40.82466568431724,-73.82488784202337,Bronx,Schuylerville/Edgewater Park,Boro Zone
209,40.708489715500086,-74.00235976008614,Manhattan,Seaport,Yellow Zone
210,40.5937753706899,-73.9443429909079,Brooklyn,Sheepshead Bay,Boro Zone
211,40.72389898450012,-74.0013747608857,Manhattan,SoHo,Yellow Zone
212,40.82829132600008,-73.86990538758471,Bronx,Soundview/Bruckner,Boro Zone
213,40.81646798254054,-73.86076065195059,Bronx,Soundview/Castle Hill,Boro Zone
214,40.5866175496315,-74.0858854328856,Staten Island,South Beach/Dongan Hills,Boro Zone
215,40.69416756150008,-73.790393282899,Queens,South Jamaica,Boro Zone
216,40.67706990500008,-73.82051288840273,Queens,South Ozone Park,Boro Zone
217,40.70325056650011,-73.95684080335269,Brooklyn,South Williamsburg,Boro Zone
218,40.673301692500104,-73.77211714852089,Queens,Springfield Gardens North,Boro Zone
219,40.66025707850014,-73.76100882378233,Queens,Springfield Gardens South,Boro Zone
220,40.88189185750012,-73.91188127236693,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone
221,40.620231569862696,-74.08132943946259,Staten Island,Stapleton,Boro Zone
222,40.64668972163972,-73.88206139815232,Brooklyn,Starrett City,Boro Zone
223,40.77820451800008,-73.90665754975753,Queens,Steinway,Boro Zone
224,40.731727248802514,-73.97784268249102,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone
225,40.688784627000096,-73.93144991546943,Brooklyn,Stuyvesant Heights,Boro Zone
226,40.7352656020001,-73.92931432018611,Queens,Sunnyside,Boro Zone
227,40.64159772000009,-74.0067942311872,Brooklyn,Sunset Park East,Boro Zone
228,40.65361655951202,-74.00996192241479,Brooklyn,Sunset Park West,Boro Zone
229,40.75658918461955,-73.96517422619547,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone
230,40.75984467900008,-73.98417616208373,Manhattan,Times Sq/Theatre District,Yellow Zone
231,40.71869583250013,-74.00671154978826,Manhattan,TriBeCa/Civic Center,Yellow Zone
232,40.71538468035648,-73.9823072887701,Manhattan,Two Bridges/Seward Park,Yellow Zone
233,40.749173102000135,-73.9712550456434,Manhattan,UN/Turtle Bay South,Yellow Zone
234,40.74031339100012,-73.9904776173608,Manhattan,Union Sq,Yellow Zone
235,40.85350266338193,-73.91496799846755,Bronx,University Heights/Morris Heights,Boro Zone
236,40.78049139150008,-73.95697238419567,Manhattan,Upper East Side North,Yellow Zone
237,40.768541810500125,-73.96569149046127,Manhattan,Upper East Side South,Yellow Zone
238,40.791765960391416,-73.97281447968041,Manhattan,Upper West Side North,Yellow Zone
239,40.78410708912286,-73.97827330208816,Manhattan,Upper West Side South,Yellow Zone
240,40.89472675150011,-73.87906484801897,Bronx,Van Cortlandt Park,Boro Zone
241,40.875975555500084,-73.89645018388664,Bronx,Van Cortlandt Village,Boro Zone
242,40.84961207400008,-73.8398744144022,Bronx,Van Nest/Morris Park,Boro Zone
243,40.85867013570983,-73.93282463182959,Manhattan,Washington Heights North,Boro Zone
244,40.841218503433225,-73.94166787935077,Manhattan,Washington Heights South,Boro Zone
245,40.628466199000066,-74.10317824367249,Staten Island,West Brighton,Boro Zone
246,40.75243700731795,-74.00451269453319,Manhattan,West Chelsea/Hudson Yards,Yellow Zone
247,40.82914498200008,-73.92513320266363,Bronx,West Concourse,Boro Zone
248,40.83468696800011,-73.87101162023468,Bronx,West Farms/Bronx River,Boro Zone
249,40.734611496500065,-74.00249693107948,Manhattan,West Village,Yellow Zone
250,40.83261335050442,-73.84958090688343,Bronx,Westchester Village/Unionport,Boro Zone
251,40.619621287000115,-74.1232322894444,Staten Island,Westerleigh,Boro Zone
252,40.78832817550009,-73.81540228846697,Queens,Whitestone,Boro Zone
253,40.760092035000106,-73.84147194928873,Queens,Willets Point,Boro Zone
254,40.88321283650011,-73.85827466696031,Bronx,Williamsbridge/Olinville,Boro Zone
255,40.71883706052968,-73.95713431584907,Brooklyn,Williamsburg (North Side),Boro Zone
256,40.71098031374281,-73.95910848281363,Brooklyn,Williamsburg (South Side),Boro Zone
257,40.65366442100013,-73.97723935640826,Brooklyn,Windsor Terrace,Boro Zone
258,40.69013977500009,-73.85664604921502,Queens,Woodhaven,Boro Zone
259,40.89908010927523,-73.85639896558217,Bronx,Woodlawn/Wakefield,Boro Zone
260,40.746790353000065,-73.90371498187798,Queens,Woodside,Boro Zone
261,40.70897584700011,-74.0129192707674,Manhattan,World Trade Center,Yellow Zone
262,40.77653594950015,-73.94582999166391,Manhattan,Yorkville East,Yellow Zone
263,40.77849455350008,-73.95120892105504,Manhattan,Yorkville West,Yellow Zone
