family,method,seed,E_cost,E_fuel,E_emission,E_recourse,CVaR_cost,P_trigger,E_returns,E_return_km,P_late,E_late_min,P_defer,n_veh,secs
peshawar_real,Q90C,7,99.20496,90.73496,214.13451,8.47,126.07841,0.095,0.115,1.23095,0.0,0.0,0.015,29.0,30.0
peshawar_real,Q90C,8,100.86992,92.03742,217.2083,8.8325,128.985,0.1,0.125,1.35144,0.0,0.0,0.015,29.0,30.0
peshawar_real,Q90C,9,99.38565,89.52315,211.27463,9.8625,139.05507,0.12,0.16,1.54582,0.0,0.0,0.04,27.0,30.0
peshawar_real,Q90C,10,99.59769,90.91519,214.55984,8.6825,125.7118,0.1,0.135,1.32371,0.0,0.0,0.01,28.0,30.0
peshawar_real,Q90C,11,100.10234,90.45984,213.48522,9.6425,131.83559,0.095,0.11,1.13563,0.0,0.0,0.02,28.0,30.0
peshawar_real,Q90C,12,100.03135,90.83635,214.37379,9.195,130.24209,0.105,0.13,1.24285,0.0,0.0,0.025,28.0,30.1
peshawar_real,Q90C,13,101.741,92.291,217.80677,9.45,137.32696,0.09,0.13,1.18547,0.0,0.0,0.03,28.0,30.1
peshawar_real,Q90C,14,99.02869,89.20869,210.5325,9.82,133.29589,0.105,0.135,1.31356,0.0,0.0,0.025,27.0,30.0
peshawar_real,Q90C,15,100.52443,92.14693,217.46676,8.3775,128.49462,0.105,0.135,1.30165,0.0,0.0,0.015,28.0,30.0
peshawar_real,Q90C,16,101.05197,92.23697,217.67925,8.815,128.61422,0.095,0.135,1.19607,0.0,0.0,0.015,28.0,30.0
peshawar_real,Q90C,17,98.28709,89.91209,212.19252,8.375,125.09488,0.1,0.135,1.34919,0.0,0.0,0.015,28.0,30.0
peshawar_real,Q90C,18,99.22223,90.36223,213.25485,8.86,126.94564,0.105,0.145,1.38843,0.0,0.0,0.015,28.0,30.0
peshawar_real,Q90C,19,99.4101,90.5701,213.74543,8.84,129.00768,0.1,0.125,1.3946,0.0,0.0,0.02,29.0,30.1
peshawar_real,Q90C,20,102.38168,92.87168,219.17716,9.51,139.19804,0.105,0.13,1.28506,0.0,0.0,0.04,28.0,30.1
peshawar_real,Q90C,21,103.08953,93.21453,219.98628,9.875,132.91605,0.105,0.135,1.24794,0.0,0.0,0.02,28.0,30.1
peshawar_real,Q90C,22,100.99868,90.34118,213.20519,10.6575,137.78265,0.115,0.155,1.36449,0.0,0.0,0.04,27.0,30.0
peshawar_real,Q90C,23,100.03504,90.84254,214.38838,9.1925,129.34405,0.11,0.135,1.46074,0.0,0.0,0.02,29.0,30.0
peshawar_real,Q90C,24,99.83378,91.46878,215.86633,8.365,126.8409,0.105,0.14,1.3603,0.0,0.0,0.015,28.0,30.0
peshawar_real,Q90C,25,99.85203,90.73703,214.1394,9.115,130.14547,0.115,0.155,1.58195,0.0,0.0,0.02,28.0,30.0
peshawar_real,Q90C,26,101.67352,92.56602,218.4558,9.1075,132.16383,0.11,0.13,1.36985,0.0,0.0,0.02,28.0,30.0
peshawar_real,Q90C,27,99.60637,90.60637,213.83102,9.0,131.3444,0.095,0.125,1.33616,0.0,0.0,0.025,29.0,30.0
peshawar_real,Q90C,28,100.62005,92.04755,217.23221,8.5725,130.20214,0.095,0.12,1.20624,0.0,0.0,0.02,29.0,30.1
peshawar_real,Q90C,29,100.14011,90.66261,213.96376,9.4775,130.46197,0.09,0.125,1.19628,0.0,0.0,0.015,28.0,30.0
peshawar_real,DFR,0,103.66924,91.41674,215.74351,12.2525,154.42181,0.175,0.225,1.83921,0.0,0.0,0.06,27.0,50.1
peshawar_real,DFR,1,100.03531,87.97281,207.61582,12.0625,150.68167,0.195,0.245,2.19881,0.0,0.0,0.07,27.0,50.0
peshawar_real,DFR,2,99.88249,88.85749,209.70367,11.025,135.31452,0.185,0.235,2.06773,0.0,0.0,0.025,27.0,50.1
peshawar_real,DFR,3,103.19457,91.87707,216.82989,11.3175,142.51551,0.18,0.255,1.79419,0.0,0.0,0.04,27.0,50.1
peshawar_real,DFR,4,105.16119,93.50119,220.66281,11.66,154.33388,0.185,0.255,2.17003,0.0,0.0,0.065,27.0,50.0
peshawar_real,DFR,5,105.33173,92.85673,219.14187,12.475,154.20676,0.185,0.245,2.16175,0.0,0.0,0.065,27.0,50.1
peshawar_real,DFR,6,99.79363,89.08863,210.24916,10.705,139.60016,0.18,0.24,1.97144,0.0,0.0,0.04,27.0,50.1
peshawar_real,DFR,7,100.41544,89.89544,212.15325,10.52,136.00896,0.18,0.23,1.95722,0.0,0.0,0.035,27.0,50.1
peshawar_real,DFR,8,100.88616,89.25866,210.65045,11.6275,151.54774,0.185,0.245,2.36859,0.0,0.0,0.065,27.0,50.1
peshawar_real,DFR,9,107.18456,93.69956,221.13096,13.485,155.4259,0.155,0.2,2.06206,0.0,0.0,0.07,28.0,50.1
peshawar_real,DFR,10,101.71475,91.66725,216.33471,10.0475,140.84941,0.15,0.2,1.65474,0.0,0.0,0.035,27.0,50.0
peshawar_real,DFR,11,101.46275,90.36275,213.25609,11.1,141.46774,0.17,0.215,1.80817,0.0,0.0,0.045,27.0,50.0
peshawar_real,DFR,12,104.67016,93.25266,220.07628,11.4175,146.45024,0.155,0.2,1.76063,0.0,0.0,0.06,27.0,50.1
peshawar_real,DFR,13,103.23528,92.08778,217.32717,11.1475,150.53231,0.175,0.25,1.89121,0.0,0.0,0.05,27.0,50.1
peshawar_real,DFR,14,106.64011,93.99011,221.81666,12.65,163.40769,0.185,0.265,2.2245,0.0,0.0,0.075,27.0,50.1
peshawar_real,DFR,15,102.74339,90.58839,213.7886,12.155,148.18732,0.19,0.255,1.99885,0.0,0.0,0.06,27.0,50.1
peshawar_real,DFR,16,101.57912,90.45662,213.47763,11.1225,145.41504,0.175,0.24,2.1446,0.0,0.0,0.05,27.0,50.1
peshawar_real,DFR,17,103.11779,90.65779,213.95238,12.46,154.97751,0.175,0.27,2.17763,0.0,0.0,0.055,27.0,50.1
peshawar_real,DFR,18,102.05639,89.24389,210.61558,12.8125,150.86608,0.215,0.285,2.64528,0.0,0.0,0.065,27.0,50.0
peshawar_real,DFR,19,98.98447,87.11947,205.60194,11.865,150.01119,0.18,0.245,2.11345,0.0,0.0,0.06,27.0,50.1
peshawar_real,DFR,20,101.76397,91.14897,215.11158,10.615,144.68793,0.16,0.215,1.9048,0.0,0.0,0.04,27.0,50.1
peshawar_real,DFR,21,101.70882,90.26882,213.03442,11.44,146.80618,0.185,0.22,1.96634,0.0,0.0,0.06,27.0,50.1
peshawar_real,DFR,22,99.58353,90.31103,213.13404,9.2725,132.49653,0.16,0.215,1.70647,0.0,0.0,0.03,27.0,50.1
peshawar_real,DFR,23,99.72988,90.86488,214.44112,8.865,124.58424,0.175,0.235,2.01255,0.0,0.0,0.01,27.0,50.0
peshawar_real,DFR,24,103.48024,91.89274,216.86686,11.5875,144.28032,0.18,0.235,1.96156,0.0,0.0,0.05,27.0,50.0
peshawar_real,DFR,25,102.72975,89.42725,211.0483,13.3025,161.90544,0.15,0.18,1.63072,0.0,0.0,0.1,27.0,50.1
peshawar_real,DFR,26,101.51079,90.82829,214.35476,10.6825,143.28198,0.145,0.18,1.86846,0.0,0.0,0.05,27.0,50.0
peshawar_real,DFR,27,97.44723,88.45973,208.76495,8.9875,129.03606,0.15,0.21,1.75709,0.0,0.0,0.015,27.0,50.1
peshawar_real,DFR,28,101.60409,89.69159,211.67216,11.9125,149.04732,0.175,0.215,2.01204,0.0,0.0,0.07,27.0,50.0
peshawar_real,DFR,29,104.31988,92.91488,219.27913,11.405,145.58136,0.145,0.17,1.89544,0.0,0.0,0.045,27.0,50.1
solomon_c101,SAA,0,416.01935,396.5969,935.96868,19.42245,476.76544,0.245,0.31,17.83138,1.0,114.99907,0.0,20.0,20.0
solomon_c101,SAA,1,564.94124,348.73508,823.01478,216.20616,695.97982,0.54,1.0,49.13024,1.0,4011.82328,0.03,12.0,20.0
solomon_c101,SAA,2,406.28635,376.84695,889.3588,29.4394,483.56841,0.21,0.285,18.62243,1.0,322.43804,0.0,18.0,20.0
solomon_c101,SAA,3,422.41019,395.89004,934.3005,26.52015,494.14226,0.235,0.3,18.15859,1.0,234.80292,0.0,21.0,20.0
solomon_c101,SAA,4,381.64161,355.59676,839.20835,26.04485,448.65156,0.25,0.355,19.92825,1.0,243.74702,0.0,20.0,20.0
solomon_c101,SAA,5,413.54029,374.31147,883.37506,39.22882,493.5529,0.28,0.365,24.54608,1.0,502.02643,0.0,20.0,20.0
solomon_c101,SAA,6,424.17618,384.21141,906.73894,39.96477,514.85064,0.3,0.435,27.83462,1.0,498.74539,0.0,18.0,20.0
solomon_c101,SAA,7,405.07486,382.63732,903.02408,22.43753,469.1821,0.185,0.225,13.58761,1.0,185.25069,0.0,19.0,20.0
solomon_c101,SAA,8,440.96458,410.37413,968.48294,30.59045,525.91684,0.28,0.345,26.31809,1.0,323.20905,0.0,20.0,20.0
solomon_c101,SAA,9,397.82526,368.15732,868.85127,29.66794,486.45588,0.3,0.435,28.17179,1.0,285.5089,0.0,20.0,20.0
solomon_c101,SAA,10,378.4539,353.01081,833.10552,25.44308,460.88797,0.24,0.33,23.31605,1.0,251.56169,0.0,18.0,20.0
solomon_c101,SAA,11,421.23292,379.89231,896.54584,41.34062,500.95607,0.22,0.28,19.03207,1.0,543.96236,0.0,18.0,20.0
